Tipo Autorizzazione,Unità Locale,Cod. Impianto,Denominazione,Gestore,Prov.,Comune,Indirizzo,Latitudine,Longitudine,Colonna georeferenziata
Autorizzazione unica (ordinaria),PORDENONE Via Nuova di Corva,CDR/PN033013,Centro di raccolta autorizzato PORDENONE Via Nuova di Corva,GEA - GESTIONI ECOLOGICHE E AMBIENTALI - S.P.A.,PN,PORDENONE,"Via Nuova di Corva,86",45.929524,12.654873,POINT (12.654873 45.929524)
Procedura semplificata/AUA,"AVIANO Via Monte Colombera, 22",F093018-0008_002,"Impianto di recupero non pericolosi AVIANO Via Monte Colombera, 22",GEES RECYCLING S.R.L.,PN,AVIANO,"Zona Industriale  Via Monte Colombera,22",46.061264,12.614901,POINT (12.614901 46.061264)
Procedura semplificata/AUA,TRIESTE via Errera 5,COM_601,Impianto recupero ceneri di carbone TRIESTE via Errera 5,GENERAL BETON TRIVENETA S.P.A.,TS,TRIESTE,"Via Carlo Errera,5",45.612825,13.799932,POINT (13.799932 45.612825)
Procedura semplificata/AUA,"SAN VITO AL TAGLIAMENTO Via Armenia, 11",PN-COM-209,"Impianto di recupero inerti SAN VITO AL TAGLIAMENTO Via Armenia, 15",GENERAL BETON TRIVENETA S.P.A.,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Armenia,11",45.948963,12.887106,POINT (12.887106 45.948963)
Procedura semplificata/AUA,"GRADISCA D'ISONZO Via Palmanova, 35",COM_861,"Impianto di recupero inerti GRADISCA D'ISONZO Via Palmanova, 35",GENERAL BETON TRIVENETA S.P.A.,GO,GRADISCA D'ISONZO,"Via Palmanova,35",45.880726,13.47162,POINT (13.47162 45.880726)
Procedura semplificata/AUA,"FONTANAFREDDA Via Carducci, 108",PN-COM-271,"Impianto di recupero inerti FONTANAFREDDA Via Carducci, 108",GENERAL BETON TRIVENETA S.P.A.,PN,FONTANAFREDDA,"Villadolt Via Giosuè Carducci,108",45.982037,12.5822,POINT (12.5822 45.982037)
Procedura semplificata/AUA,VENZONE Via Zona Industriale Carnia 15,COM_535,Impianto di recupero ceneri VENZONE Via Zona Industriale Carnia 15,GENERAL BETON TRIVENETA S.P.A.,UD,VENZONE,"Via Zona Industriale Carnia,15",46.383411,13.132524,POINT (13.132524 46.383411)
Procedura semplificata/AUA,UDINE Via Argine del Torre Beivars,COM_323,Impianto di recupero ceneri UDINE Via Argine del Torre Beivars,GENERAL BETON TRIVENETA S.P.A.,UD,UDINE,Beivars Via Argine del Torre,46.091091,13.278372,POINT (13.278372 46.091091)
Procedura semplificata/AUA,"RONCHI DEI LEGIONARI Via Joze Srebernic, 18",COM_809,Impianto di recupero ceneri RONCHI DEI LEGIONARI Via Joze Srebernic 18,GENERAL BETON TRIVENETA S.P.A.,GO,RONCHI DEI LEGIONARI,"Via Joze Srebernic,18",45.821227,13.47398,POINT (13.47398 45.821227)
Procedura semplificata/AUA,"PREMARIACCO Via Armentarezza, Leproso",COM_313,"Impianto di recupero ceneri PREMARIACCO Via Armentarezza, Leproso",GENERAL BETON TRIVENETA S.P.A.,UD,PREMARIACCO,Leproso Via Armentarezza,46.032963,13.391047,POINT (13.391047 46.032963)
Procedura semplificata/AUA,PORDENONE Via della Tesa 1,PN-COM-34,Impianto di recupero ceneri PORDENONE Via della Tesa 1,GENERAL BETON TRIVENETA S.P.A.,PN,PORDENONE,"Via della Tesa,1",45.979843,12.639575,POINT (12.639575 45.979843)
Procedura semplificata/AUA,"MONTEREALE VALCELLINA Via dell'Industria, Grizzo",PN-COM-218,"Impianto di recupero ceneri MONTEREALE VALCELLINA Via dell'Industria, Grizzo",GENERAL BETON TRIVENETA S.P.A.,PN,MONTEREALE VALCELLINA,Grizzo Zona Industriale,46.134056,12.66029,POINT (12.66029 46.134056)
Procedura semplificata/AUA,MARTIGNACCO Via Maù 29,COM_307,"Impianto di recupero ceneri MARTIGNACCO Via Maù, 29",GENERAL BETON TRIVENETA S.P.A.,UD,MARTIGNACCO,"Via Maù,29",46.08408,13.146976,POINT (13.146976 46.08408)
Procedura semplificata/AUA,MAJANO Via San Martino,COM_568,Impianto di recupero ceneri MAJANO Via San Martino,GENERAL BETON TRIVENETA S.P.A.,UD,MAJANO,Via San Martino,46.172592,13.053153,POINT (13.053153 46.172592)
Procedura semplificata/AUA,"MAGNANO IN RIVIERA Via Tarcentina, 43",COM_296,"Impianto di recupero ceneri MAGNANO IN RIVIERA Via Tarcentina, 43",GENERAL BETON TRIVENETA S.P.A.,UD,MAGNANO IN RIVIERA,"Via Tarcentina,43",46.220375,13.18059,POINT (13.18059 46.220375)
Procedura semplificata/AUA,SAN VITO AL TORRE Strada Comunale Lazis Nogaredo al Torre,COM_322,Impianto di recupero ceneri leggere SAN VITO AL TORRE Strada Comunale Lazis Nogaredo al Torre,GENERAL BETON TRIVENETA S.P.A.,UD,SAN VITO AL TORRE,Nogaredo al Torre Strada Comunale Lazis,45.905113,13.381873,POINT (13.381873 45.905113)
Procedura semplificata/AUA,SAN DORLIGO DELLA VALLE Via Muggia 2,COM_671,Impianto di recupero ceneri di carbone SAN DORLIGO DELLA VALLE Via Muggia 2,GENERAL BETON TRIVENETA S.P.A.,TS,SAN DORLIGO DELLA VALLE,"Zona Industriale Est Via Muggia,2",45.606526,13.82488,POINT (13.82488 45.606526)
Procedura semplificata/AUA,"CASTIONS DI STRADA Via Udine, 104",COM_297,"Impianto di recupero ceneri CASTIONS DI STRADA Via Udine, 104",GENERAL BETON TRIVENETA S.P.A.,UD,CASTIONS DI STRADA,"Via Udine,104",45.920101,13.183068,POINT (13.183068 45.920101)
Procedura semplificata/AUA,SAN GIORGIO DELLA RICHINVELDA Via Selva di Sotto,PN-COM-20,Impianto di messa in riserva SAN GIORGIO DELLA RICHINVELDA Via Selva di Sotto,GENERAL BETON TRIVENETA S.P.A.,PN,SAN GIORGIO DELLA RICHINVELDA,Domanins Via Selva di Sotto,46.01789,12.795462,POINT (12.795462 46.01789)
Procedura semplificata/AUA,"AVIANO Via San Martino, 7/a",PN-COM-202,"Impianto di compostaggio verde AVIANO Via San Martino, 7/a",MARVER S.R.L.,PN,AVIANO,"Aviano Via San Martino,7/A",46.07208,12.614568,POINT (12.614568 46.07208)
Autorizzazione AIA,PORCIA Località Croce Vial,DIS152PN/AIA/28,Discarica per inerti e non pericolosi (amianto) PORCIA Località Croce Vial,GENERAL BETON TRIVENETA S.P.A.,PN,PORCIA,Località Croce Vial,45.986714,12.611132,POINT (12.611132 45.986714)
Autorizzazione unica (ordinaria),"TARCENTO Via dell'Unione Europea, 18",UD_XYMOB017,"Impianto mobile TAF mat. TS416CER TARCENTO Via dell'Unione Europea, 18",GEOSTREAM S.R.L.,UD,TARCENTO,"Via dell'Unione Europea,18",,,
Autorizzazione unica (ordinaria),"POVOLETTO Via Pramollo, 6",UD_XYMOB016,"Impianto mobile Doppstat mat. 1004 POVOLETTO Via Pramollo, 6",GESTECO S.P.A.,UD,POVOLETTO,"Zona Industriale di Grions del Torre Via Pramollo,6",,,
Autorizzazione unica (ordinaria),"POVOLETTO Via Pramollo, 6",UD_XYMOB010,"Impianto mobile Doppstadt mat. 026 POVOLETTO Via Pramollo, 6",GESTECO S.P.A.,UD,POVOLETTO,"Zona Industriale di Grions del Torre Via Pramollo,6",,,
Autorizzazione unica (ordinaria),"POVOLETTO Via Pramollo, 6",UD_XYMOB004,"Impianto mobile di recupero inerti Komatsu BR380JG-1EO matr. n. 2106 POVOLETTO Via Pramollo,6",GESTECO S.P.A.,UD,POVOLETTO,"Zona Industriale di Grions del Torre Via Pramollo,6",,,
Autorizzazione AIA,"SAVOGNA D'ISONZO Via San Michele, 347, Zona Industriale Località Sant'Andrea",GO/AIA/18,"Impianto di trattamento acque reflue industriali in aia SAVOGNA D'ISONZO Via San Michele, 347, Zona Industriale Località Sant'Andrea",GESTECO S.P.A.,GO,SAVOGNA D'ISONZO,"Zona Industriale Località Sant'Andrea Via San Michele,347",45.910429,13.589218,POINT (13.589218 45.910429)
Autorizzazione unica (ordinaria),"PRADAMANO Via Laipacco, 4",UD_00004363,"Impianto di recupero inerti PRADAMANO Via Laipacco, 4",GESTECO S.P.A.,UD,PRADAMANO,"Via Laipacco,4",46.059889,13.288823,POINT (13.288823 46.059889)
Autorizzazione unica (ordinaria),MONFALCONE Zona Industriale Lisert,GO_GO012003,Impianto di recupero fanghi di dragaggio MONFALCONE Zona Industriale Lisert,GESTECO S.P.A.,GO,MONFALCONE,Zona Industriale Lisert,45.78249,13.57117,POINT (13.57117 45.78249)
Autorizzazione AIA,"CIVIDALE DEL FRIULI Via Aquileia 23, Località Mus",DIS306UD/AIA/18,"Discarica per non pericolosi CIVIDALE DEL FRIULI Via Aquileia 23, Località Mus",GESTECO S.P.A.,UD,CIVIDALE DEL FRIULI,"Mus Via Aquileia,23",46.062437,13.418595,POINT (13.418595 46.062437)
Autorizzazione unica (ordinaria),"REMANZACCO Località Cerneglons, Argine Torrente Torre",DIS005UD/TEI,"Discarica per inerti REMANZACCO Località Cerneglons, Argine Torrente Torre",GESTECO S.P.A.,UD,REMANZACCO,Argine Torrente Torre Località Cerneglons,46.05329,13.301927,POINT (13.301927 46.05329)
Autorizzazione unica (ordinaria),"SAN VITO AL TAGLIAMENTO Via Bordano, 6",PN_XYMOB005,"Impianto mobile di recupero inerti M Track Giove matr. n. 99B09800T SAN VITO AL TAGLIAMENTO Via Bordano, 6",GHIAIE PONTE ROSSO S.R.L.,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Bordano,6",45.943779,12.880433,POINT (12.880433 45.943779)
Procedura semplificata/AUA,"SAN VITO AL TAGLIAMENTO Viale Ponte Rosso, 36",PN-COM-223,"Impianto di recupero inerti SAN VITO AL TAGLIAMENTO Viale Ponte Rosso, 36",GHIAIE PONTE ROSSO S.R.L.,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Zona Industriale Ponte Rosso,36",45.959281,12.896053,POINT (12.896053 45.959281)
Procedura semplificata/AUA,"SAN VITO AL TAGLIAMENTO Via Bordano, 6",PN-COM-196,"Impianto di recupero inerti SAN VITO AL TAGLIAMENTO Via Bordano, 6",GHIAIE PONTE ROSSO S.R.L.,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Bordano,6",45.950584,12.888122,POINT (12.888122 45.950584)
Procedura semplificata/AUA,"SAN VITO AL TAGLIAMENTO Via Armenia, 15",PN-COM-214,"Impianto di recupero inerti SAN VITO AL TAGLIAMENTO Via Armenia, 15",GHIAIE PONTE ROSSO S.R.L.,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Armenia,15",45.948394,12.888274,POINT (12.888274 45.948394)
Procedura semplificata/AUA,"FONTANAFREDDA Via Bellini, 37",PN-COM-65,"Impianto di recupero legno FONTANAFREDDA Via Bellini, 37",GIERRETI BREDA SOCIETA' A RESPONSABILITA' LIMITATA,PN,FONTANAFREDDA,"Vigonovo Via Vincenzo Bellini,37",45.993421,12.551589,POINT (12.551589 45.993421)
Procedura semplificata/AUA,CLAUT Via Zona Industriale Pinedo,PN-AUA-161,Impianto di recupero inerti CLAUT Zona Industriale Pinedo,GI.PI.GI. S.R.L.,PN,CLAUT,"Zona Industriale Pinedo,1",46.269234,12.459499,POINT (12.459499 46.269234)
Autorizzazione unica (ordinaria),"POLCENIGO Via Pordenone, 150/A",PN_PN031000,"Impianto di autodemolizione POLCENIGO Via Pordenone, 150/A",GOTTARDO DOMENICO,PN,POLCENIGO,"Via Pordenone,150/A",46.016352,12.513907,POINT (12.513907 46.016352)
Autorizzazione unica (ordinaria),"MANZANO Via Alessandro Volta, 10",UD_UD055000,"Impianto di incenerimento MANZANO Via Alessandro Volta, 10",GREENMAN S.R.L.,UD,MANZANO,"via A. Volta,10",45.985176,13.354764,POINT (13.354764 45.985176)
Autorizzazione AIA,"SAN VITO AL TAGLIAMENTO Via Gemona, 4, Zona Industriale Ponte Rosso",PN/AIA/29,"Impianto di stoccaggio pericolosi SAN VITO AL TAGLIAMENTO Via Gemona, 4, Zona Industriale Ponte Rosso",HERAMBIENTE SERVIZI INDUSTRIALI S.R.L.,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Gemona,4",45.93446,12.885543,POINT (12.885543 45.93446)
Autorizzazione AIA,CORDENONS Località Crovoleit,DIS008PN/AIA/83,Discarica per non pericolosi CORDENONS Località Crovoleit,HERAMBIENTE S.P.A.,PN,CORDENONS,Località Crovoleit,46.014668,12.751987,POINT (12.751987 46.014668)
Autorizzazione unica (ordinaria),SAN DORLIGO DELLA VALLE Località Bagnoli della Rosandra,TS_TS004001,Impianto di stoccaggio SAN DORLIGO DELLA VALLE Località Bagnoli della Rosandra,HERVAT S.R.L.,TS,SAN DORLIGO DELLA VALLE,"Località Hervati,36",45.606682,13.847948,POINT (13.847948 45.606682)
Autorizzazione AIA,"TRIESTE Via Errera, 11",TS/AIA/5,"Impianto di incenerimento in aia TRIESTE Via Errera, 11",HESTAMBIENTE S.R.L.,TS,TRIESTE,"Via Carlo Errera,11",45.611583,13.799724,POINT (13.799724 45.611583)
Trattamento rifiuti liquidi art. 110 dlgs 152/06,"PORDENONE Via Savio, 13",F093033-0039,"Impianto di depurazione acque reflue urbane PORDENONE Via Savio, 13",HYDROGEA S.P.A.,PN,PORDENONE,"Via Luciano Savio,13",45.923383,12.649692,POINT (12.649692 45.923383)
Trattamento rifiuti liquidi art. 110 dlgs 152/06,PORDENONE Via Burida,F093033-0040,Impianto di depurazione acque reflue urbane PORDENONE Via Burida,HYDROGEA S.P.A.,PN,PORDENONE,Via Burida,45.949309,12.644749,POINT (12.644749 45.949309)
Autorizzazione unica (ordinaria),"SAN GIORGIO DI NOGARO Via Alessandro Volta, 13",UD_UD100003,"Impianto di selezione e stoccaggio SAN GIORGIO DI NOGARO Via Alessandro Volta, 13",I. BLU S.R.L.,UD,SAN GIORGIO DI NOGARO,"Zona Industriale Aussa-Corno Via Alessandro Volta,13",45.800744,13.213554,POINT (13.213554 45.800744)
Autorizzazione unica (ordinaria),"RIVE D'ARCANO Via Arcano Superiore, 12/1",UD_00008175,"Impianto di recupero raccolta differenziata RIVE D'ARCANO Via Arcano Superiore, 12/1",I. BLU S.R.L.,UD,RIVE D_ ARCANO,"Prè Longhi di Camin Località Arcano Superiore,12/1",46.149221,13.058695,POINT (13.058695 46.149221)
Procedura semplificata/AUA,"BRUGNERA Via Santi Rocco e Matteo, 17",PN-COM-133,"Impianto di recupero energetico BRUGNERA Via Santi Rocco e Matteo, 17",I.C.M. S.P.A.,PN,BRUGNERA,"Maron Via Santi Rocco e Matteo,17",45.898532,12.561473,POINT (12.561473 45.898532)
Procedura semplificata/AUA,"CERCIVENTO Via Gladegne, 19",F030088-0004_003,"Impianto di recupero inerti CERCIVENTO Via Gladegne, 19",I.C.M. S.R.L.,UD,CERCIVENTO,"Via Gladegne,19",46.523821,12.991787,POINT (12.991787 46.523821)
Autorizzazione unica (ordinaria),"BASILIANO Via Silvio Pellico, 2",UD_XYMOB024,"Impianto mobile di recupero inerti Allu mat. 09PF14038 BASILIANO Via Silvio Pellico, 2",I.CO.P. S.P.A.,UD,BASILIANO,"Via Silvio Pellico,2",,,
Autorizzazione unica (ordinaria),"LATISANA Via Lignano Nord, Paludo",UD_UD046000,"Impianto di trattamento rifiuti liquidi LATISANA Via Lignano Nord, Paludo",IDROSPURGHI PLAINO GIANNI S.N.C. DI PLAINO ALESSANDRO & C.,UD,LATISANA,Paludo Via Lignano Nord,45.77052,13.032569,POINT (13.032569 45.77052)
Autorizzazione unica (ordinaria),"UDINE Strada Provinciale 104, Località Buse dai Claps",DIS219UD,"Discarica per inerti UDINE Strada Provinciale 104, Località Buse dai Claps",IFIM S.R.L.,UD,UDINE,Buse dai Claps Strada Provinciale n.104,46.09283,13.288392,POINT (13.288392 46.09283)
Procedura semplificata/AUA,"PORCIA Via Cristoforo Colombo ,80",PN-COM-269,"Impianto di compostaggio verde PORCIA Via Cristoforo Colombo, 80",IL GIRASOLE DI COPAT STEFANO,PN,PORCIA,"Palse Via Cristoforo Colombo,80",45.946524,12.601331,POINT (12.601331 45.946524)
Autorizzazione unica (ordinaria),"TALMASSONS Via degli Artigiani, 21, Flumignano",UD_PRINT_001,"Impianto di recupero cartucce toner TALMASSONS Via degli Artigiani, 21",IMPRAM SRL,UD,TALMASSONS,"Flumignano Via degli Artigiani ,21",45.928712,13.145919,POINT (13.145919 45.928712)
Procedura semplificata/AUA,ROMANS D'ISONZO Via Aquileia,COM_981,Impianto di recupero ROMANS D'ISONZO Via Aquileia,IMPRESA CARLETTI VIRGINIO S.R.L.,GO,ROMANS D'ISONZO,Via Aquileia,45.879074,13.448092,POINT (13.448092 45.879074)
Procedura semplificata/AUA,"CIMOLAIS Zona Industriale di Pinedo, 8",PN-COM-239,"Impianto di recupero inerti CIMOLAIS Zona Industriale di Pinedo, 8",IMPRESA COSTRUZIONI FABRIS AMBROGIO S.R.L.,PN,CIMOLAIS,"Zona Industriale Pinedo,8",46.271687,12.457026,POINT (12.457026 46.271687)
Procedura semplificata/AUA,AVIANO Strada Comunale di Mezzo,PN-COM-278,Impianto di messa in riserva inerti AVIANO Strada Comunale di Mezzo,INERTI AVIANESE S.R.L.,PN,AVIANO,Via De Zan Strada Comunale di Mezzo,46.057831,12.621126,POINT (12.621126 46.057831)
Autorizzazione unica (ordinaria),"LATISANA Calle dell'Annunziata, 10",UD_XYMOB025,"Impianto mobile di recupero inerti OM mat. Tk105115 LATISANA Calle dell'Annunziata, 10",INNOTEC S.R.L.,UD,LATISANA,"Calle dell'Annunziata,10",,,
Trattamento rifiuti liquidi art. 110 dlgs 152/06,"STARANZANO Via del Mulinat, 30, Bistrigna",GO000165,"Impianto di depurazione acque reflue urbane STARANZANO Via del Mulinat, 30, Bistrigna",IRISACQUA S.R.L.,GO,STARANZANO,"Bistrigna Via del Mulinat,30",45.785239,13.500621,POINT (13.500621 45.785239)
Trattamento rifiuti liquidi art. 110 dlgs 152/06,"GORIZIA Via Ressel, 7",GO00163,"Impianto di depurazione acque reflue urbane GORIZIA Via Ressel, 7",IRISACQUA S.R.L.,GO,GORIZIA,"Via Giuseppe Ressel,7",45.915476,13.586681,POINT (13.586681 45.915476)
Procedura semplificata/AUA,"SAN VITO AL TAGLIAMENTO Via Clauzetto, 36",PN-COM-192,"Impianto di recupero plastica SAN VITO AL TAGLIAMENTO Via Clauzetto, 36",ISOLCONFORT S.R.L.,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Clauzetto,36",45.949096,12.87529,POINT (12.87529 45.949096)
Autorizzazione unica (ordinaria),"MORARO Strada Provinciale n.4, Località Gesimis, 3",GO_GO013001,"Impianto di recupero rifiuti da raccolta differenziata MORARO Strada Provinciale 4, Località Gesimis 3",ISONTINA AMBIENTE S.R.L.,GO,MORARO,"Gesimis Strada Provinciale n.4,3",45.91888,13.499059,POINT (13.499059 45.91888)
Autorizzazione AIA,"MORARO Strada Provinciale n.4, Località Gesimis, 5",GO/AIA/21,"Impianto di compostaggio urbani in aia MORARO Strada Provinciale 4, Località Gesimis 5",ISONTINA AMBIENTE S.R.L.,GO,MORARO,"Gesimis Strada Provinciale n.4,5",45.91808,13.498853,POINT (13.498853 45.91808)
Autorizzazione unica (ordinaria),"SAN DORLIGO DELLA VALLE  Via Ressel, 2",F032004-0015_003,"Impianto di recupero SAN DORLIGO DELLA VALLE Via Ressel, 2",ITALFER S.R.L.,TS,SAN DORLIGO DELLA VALLE,"Via Giuseppe Ressel,2",45.610699,13.824663,POINT (13.824663 45.610699)
Procedura semplificata/AUA,"SAN VITO AL TAGLIAMENTO Via Partanna, 3",PN-COM-49,"Impianto di recupero legno SAN VITO AL TAGLIAMENTO Via Partanna, 3",ITAL WOOD S.R.L.,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Partanna,3",45.943855,12.883402,POINT (12.883402 45.943855)
Procedura semplificata/AUA,"SACILE Via Malignani, 2",PN-COM-233,"Impianto di recupero cartucce toner SACILE Via Malignani, 2",JOLLY FORNITURE STAMPA DI MASUT LUCA,PN,SACILE,"Cornadella Via Arturo Malignani,2",45.942123,12.467616,POINT (12.467616 45.942123)
Procedura semplificata/AUA,"BRUGNERA Via Carpenè, 4",PN-COM-84,Impianto di recupero energetico legno BRUGNERA Via Carpenè 4,"JULIA ARREDA S.R.L. ""IN LIQUIDAZIONE""",PN,BRUGNERA,"Zona Industriale di Maron Via Antonio Carpenè,4",45.912951,12.55282,POINT (12.55282 45.912951)
Procedura semplificata/AUA,"SACILE Viale Europa, 7",PN-COM-215,"Impianto di recupero plastica SACILE Viale Europa, 7",KARTON S.P.A.,PN,SACILE,"Cornadella Viale Europa,7",45.942451,12.464106,POINT (12.464106 45.942451)
Procedura semplificata/AUA,"SAN GIORGIO DI NOGARO Via Melaria, 5",COM_1039,"Impianto di recupero plastica 2 SAN GIORGIO DI NOGARO Via Melaria, 5",KB PLAST S.R.L.,UD,SAN GIORGIO DI NOGARO,"Zona Industriale Aussa-Corno Via Melaria,5",45.810616,13.218983,POINT (13.218983 45.810616)
Autorizzazione unica (ordinaria),"MUGGIA Via Flavia di Aquilinia, 24/1",TS_TS003003,"Impianto di recupero acque di falda MUGGIA Via Flavia di Aquilinia, 24/1",KRI S.P.A.,TS,MUGGIA,"Via Flavia di Aquilinia,24/1",45.605566,13.798024,POINT (13.798024 45.605566)
Procedura semplificata/AUA,"MONFALCONE Via Grota del Diau Zot, 1",COM_902,"Impianto di recupero metalli MONFALCONE Via Grota del Diau Zot, 1",LAFFRANCHINI S.R.L.,GO,MONFALCONE,"Zona Industriale Lisert Via Grota del Diau Zot,1",45.790044,13.574257,POINT (13.574257 45.790044)
Procedura semplificata/AUA,"PASIANO DI PORDENONE Via Gallopat, 29",PN-COM-277,"Impianto di recupero energetico PASIANO DI PORDENONE Via Gallopat, 29",L.A.P.M. S.R.L.,PN,PASIANO DI PORDENONE,"Cecchini Via Gallopat,29",45.867303,12.623102,POINT (12.623102 45.867303)
Procedura semplificata/AUA,"CERVIGNANO DEL FRIULI Via della Ferrovia Vecchia, 9/2",COM_528,"Impianto di recupero plastica CERVIGNANO DEL FRIULI Via della Ferrovia Vecchia, 9/2",LA RICARICA DI CRISNARO MAURIZIO & C. S.A.S.,UD,CERVIGNANO DEL FRIULI,"Via della Ferrovia Vecchia,9/2",45.809216,13.35665,POINT (13.35665 45.809216)
Procedura semplificata/AUA,"PAVIA DI UDINE Via Peraria, 12/A",COM_998,"Impianto di recupero legno PAVIA DI UDINE Via Peraria, 12/A",LA.SO.LE. EST S.p.A.,UD,PAVIA DI UDINE,"Zona Artigianale Industriale di Percoto Via Peraria,12/A",45.976807,13.312585,POINT (13.312585 45.976807)
Autorizzazione unica (ordinaria),"PORDENONE Via Polcenigo, 1",PN_PN033002,"Impianto di autodemolizione PORDENONE Via Polcenigo, 1",LEIBALLI ANTONIO EREDI DI BARBIERI FRANCO & C. SOCIETA' IN ACCOMANDITA SEMPLICE,PN,PORDENONE,"Via Polcenigo,1",45.970959,12.633234,POINT (12.633234 45.970959)
Procedura semplificata/AUA,SPILIMBERGO Via Zona Industriale sul Cosa 8,PN-COM-200,Impianto di recupero inerti SPILIMBERGO Via Zona Industriale sul Cosa 8,LENARDUZZI ETTORE E SILVANO & C. S.N.C.,PN,SPILIMBERGO,"Via Zona Industriale sul Cosa,8",46.106683,12.877106,POINT (12.877106 46.106683)
Autorizzazione unica (ordinaria),"SAN QUIRINO Via Roiata, 19",PN_PN040002,"Impianto di messa in riserva e selezione rifiuti SAN QUIRINO Via Roiata, 19",LF JULIA SRL,PN,SAN QUIRINO,"Via Roiata,19",46.027798,12.668719,POINT (12.668719 46.027798)
Procedura semplificata/AUA,"SESTO AL REGHENA Via Cornia, 1/A",PN-COM-263,"Impianto di messa in riserva SESTO AL REGHENA Via Cornia,1/A",LIDL ITALIA S.R.L.,PN,SESTO AL REGHENA,"Via Cornia,1/A",45.862446,12.780762,POINT (12.780762 45.862446)
Trattamento rifiuti liquidi art. 110 dlgs 152/06,SACILE Via Don Pietro Benvenuto,F093007-0020,Impianto di depurazione acque reflue urbane SACILE Via Don Pietro Benvenuto,LIVENZA TAGLIAMENTO ACQUE S.P.A.,PN,SACILE,Viale Don Pietro Benvenuto,45.944326,12.504725,POINT (12.504725 45.944326)
Autorizzazione unica (ordinaria),"TRIESTE Via Pietraferrata, 30",TS_TS003002,"Impianto di recupero di rifiuti speciali e urbani/frazione secca TRIESTE Via Pietraferrata, 30",LOGICA S.R.L.,TS,TRIESTE,"Via Pietraferrata,30",45.6199,13.8078,POINT (13.8078 45.6199)
Procedura semplificata/AUA,"MORTEGLIANO Via Buiatti, 17",UL-COM_388_003,"Impianto di recupero energetico MORTEGLIANO Via Valentino Buiatti, 17",LOMBARDO S.P.A.,UD,MORTEGLIANO,"Via Valentino Buiatti,17",45.941167,13.170884,POINT (13.170884 45.941167)
Procedura semplificata/AUA,"MUGGIA Via Canneto, 2/A",COM_623_003,"Impianto di messa in riserva rifiuti vari MUGGIA Via Canneto, 2/A",LORENZI ERNESTO & C. S.A.S.,TS,MUGGIA,"Vignano Via del Canneto,2/A",45.558681,13.811602,POINT (13.811602 45.558681)
Autorizzazione unica (ordinaria),"AZZANO DECIMO Via del Bosc, 1",PN_XYMOB0017,"Impianto mobile di recupero rifiuti non pericolosi modello Kleemann MC 110 Revo AZZANO DECIMO Via del Bosc, 1",LORENZON F.LLI S.R.L.,PN,AZZANO DECIMO,"Via del Bosc,1",45.891291,12.70785,POINT (12.70785 45.891291)
Autorizzazione unica (ordinaria),PORDENONE Via delle Villotte 9,F093005-0007_002,Impianto di recupero inerti PORDENONE Via delle Villotte 9,LORENZON F.LLI S.R.L.,PN,PORDENONE,"Via delle Villotte,9",46.00201,12.635511,POINT (12.635511 46.00201)
Procedura semplificata/AUA,"AZZANO DECIMO Via del Bosc, 1",PN-COM-171,"Impianto di recupero inerti AZZANO DECIMO Via del Bosc, 1",LORENZON F.LLI S.R.L.,PN,AZZANO DECIMO,"Via del Bosc,1",45.892097,12.707244,POINT (12.707244 45.892097)
Autorizzazione unica (ordinaria),"PORDENONE Via Castelfranco Veneto, 81/4",PNESR1980,"Impianto di recupero metalli PORDENONE Via Castelfranco Veneto, 81/4",MAFF 5 SRL,PN,PORDENONE,"La Comina Via Castelfranco Veneto,81/4",45.987815,12.625284,POINT (12.625284 45.987815)
Procedura semplificata/AUA,"SAVOGNA D'ISONZO Via Malnisce, 3/C",COM_878,"Impianto di recupero inerti SAVOGNA D'ISONZO Via Malnisce, 3/c",MALIC MARINO - SCAVI,GO,SAVOGNA D'ISONZO,"Via Malnisce,3/C",45.898815,13.573329,POINT (13.573329 45.898815)
Procedura semplificata/AUA,"VALVASONE ARZENE Via Grava, Area Poligono",PN-COM-262,"Impianto di recupero inerti VALVASONE ARZENE Via Grava, Area Poligono",MANIAGO ALESSANDRO,PN,VALVASONE ARZENE,Area Poligono Via Grava,46.005589,12.830278,POINT (12.830278 46.005589)
Autorizzazione unica (ordinaria),"GORIZIA Località Case dell'Eremita, 5",F031007-0018_002,"Impianto di autodemolizione GORIZIA Località Case dell'Eremita, 5",MANIERO MICHELE,GO,GORIZIA,"Località Case dell'Eremita,5",45.914056,13.610932,POINT (13.610932 45.914056)
Procedura semplificata/AUA,CASSACCO Via Marinoni,F030019-0005_003,Impianto di messa in riserva verde CASSACCO Via Marinoni,MANSUTTI GIANFRANCO E FIGLIO SNC,UD,CASSACCO,Via Gian Giacomo Marinoni,46.169646,13.205084,POINT (13.205084 46.169646)
